joannezhao, 53893, Wed May 28 03:31:54 EDT 2014


Sent AM_AVATAR_READY signal with AvatarID: 0
Sent AM_AVATAR_READY signal with AvatarID: 3
Sent AM_AVATAR_READY signal with AvatarID: 4

Sent AM_AVATAR_READY signal with AvatarID: 2Sent AM_AVATAR_READY signal with AvatarID: 1
[Avatar 0] Turn 0: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 1: (21, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 2: (13, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 3: (12, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 4: (25, 16) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 5: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 6: (21, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 7: (13, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 8: (12, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 9: (25, 15) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 10: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 11: (21, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 12: (12, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 13: (13, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 14: (25, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 15: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 16: (21, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 17: (12, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 18: (13, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 19: (25, 15) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 20: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 21: (22, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 22: (12, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 23: (14, 21) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 24: (26, 15) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 25: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 26: (22, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 27: (12, 8) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 28: (14, 21) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 29: (26, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 30: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 31: (22, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 32: (12, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 33: (14, 21) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 34: (25, 14) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 35: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 36: (21, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 37: (11, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 38: (14, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 39: (25, 14) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 40: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 41: (20, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 42: (11, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 43: (13, 22) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 44: (25, 13) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 45: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 46: (20, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 47: (10, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 48: (13, 22) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 49: (25, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 50: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 51: (20, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 52: (10, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 53: (13, 23) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 54: (25, 13) AM_AVATAR_MOVE Direction: EAST
[Avatar 0] Turn 55: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 56: (20, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 2] Turn 57: (10, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 58: (13, 23) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 59: (26, 13) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 60: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 61: (21, 7) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 62: (11, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 63: (13, 23) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 64: (26, 12) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 65: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 66: (21, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 67: (11, 6) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 68: (13, 24) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 69: (26, 12) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 70: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 71: (20, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 72: (11, 6) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 73: (13, 24) AM_AVATAR_MOVE Direction: EAST
[Avatar 4] Turn 74: (26, 11) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 75: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 76: (19, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 77: (11, 6) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 78: (13, 24) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 79: (26, 11) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 80: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 81: (18, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 82: (11, 6) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 3] Turn 83: (13, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 84: (26, 10) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 85: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 86: (18, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 87: (11, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 88: (12, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 89: (26, 10) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 90: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 91: (18, 8) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 92: (12, 7) AM_AVATAR_MOVE Direction: NORTH
[Avatar 3] Turn 93: (12, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 94: (26, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 95: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 96: (18, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 97: (12, 7) AM_AVATAR_MOVE Direction: EAST
[Avatar 3] Turn 98: (11, 25) AM_AVATAR_MOVE Direction: NORTH
[Avatar 4] Turn 99: (26, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 100: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 101: (17, 9) AM_AVATAR_MOVE Direction: NORTH
[Avatar 2] Turn 102: (12, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 103: (11, 25) AM_AVATAR_MOVE Direction: WEST
[Avatar 4] Turn 104: (26, 8) AM_AVATAR_MOVE Direction: WEST
[Avatar 0] Turn 105: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 106: (17, 9) AM_AVATAR_MOVE Direction: WEST
[Avatar 2] Turn 107: (11, 7) AM_AVATAR_MOVE Direction: WEST
[Avatar 3] Turn 108: (11, 25) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 4] Turn 109: (26, 8) AM_AVATAR_MOVE Direction: NORTH
[Avatar 0] Turn 110: (12, 2) AM_AVATAR_MOVE Direction: NULL
[Avatar 1] Turn 111: (17, 9) AM_AVATAR_MOVE Direction: SOUTH
[Avatar 2] Turn 112: (10, 7) AM_AVATAR_MOVE Direction: WEST
